ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,N_VICTIMAS,FECHA_SINIESTRO,HORA_SINIESTRO,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,ID,Year,Rango_Edad
Conductor,Moto,Masculino,39,2016-11-07 00:00:00,1,2016-11-07,20:56:00,20,Av Del Libertador Y La Pampa,Avenida,13,-58.44523595,-34.55953855,Moto-Auto,Auto,106,2016,21-40
Peaton,Peaton,Femenino,29,2016-11-09,1,2016-11-09,20:00:00,20,Pichincha Y Av Brasil,Avenida,4,-58.39626094,-34.63036565,Peaton-Pasajeros,Pasajeros,107,2016,21-40
Pasajero_Acompañante,Movil,Masculino,55,2016-11-16 00:00:00,1,2016-11-16,21:15:00,21,Av Independencia Y Virrey Cevallos,Avenida,1,-58.38896772,-34.61799615,Movil-Pasajeros,Pasajeros,108,2016,41-60
Conductor,Moto,Masculino,42,2016-11-16,1,2016-11-16,22:20:00,22,Av Garmendia 4895,Avenida,15,-58.46536113,-34.59484504,Moto-Moto,Moto,109,2016,41-60
Pasajero_Acompañante,Cargas,Masculino,41,2016-11-18 00:00:00,1,2016-11-18,18:20:00,18,Av Amancio Alcorta Y Diogenes Taborda,Avenida,4,-58.40879146,-34.65273216,Cargas-Cargas,Cargas,110,2016,41-60
Conductor,Moto,Masculino,42,2016-11-24 00:00:00,1,2016-11-23,21:10:00,21,Av Perito Moreno Y Zuviria,Avenida,7,-58.46451841,-34.64991946,Moto-Auto,Auto,111,2016,41-60
Peaton,Peaton,Femenino,83,2016-11-25 00:00:00,1,2016-11-25,15:42:00,15,Araoz Y Av Cordoba,Avenida,15,-58.42917090,-34.59485488,Peaton-Moto,Moto,112,2016,61-90
Conductor,Moto,Masculino,38,2016-11-26,1,2016-11-26,14:14:00,14,Av Gral Paz 15200,Gral Paz,8,-58.49007772,-34.68251141,Moto-Moto,Moto,113,2016,21-40
Peaton,Peaton,Femenino,29,2016-11-26,1,2016-11-26,16:50:00,16,Madero 900,Calle,10,-58.52756365,-34.62772274,Peaton-Auto,Auto,114,2016,21-40
Conductor,Moto,Masculino,23,2016-11-30 00:00:00,1,2016-11-26,19:40:00,19,Av Independencia Y Dean Funes,Avenida,3,-58.40638983,-34.61943202,Moto-Pasajeros,Pasajeros,115,2016,21-40
